user_id,username,display_name,follower_count,following_count
35831704,tw_35831704,Twitter 35831704,2,4
277220771,tw_77220771,Twitter 77220771,3,11
26173611,tw_26173611,Twitter 26173611,10,5
474423064,tw_74423064,Twitter 74423064,6,8
65815323,tw_65815323,Twitter 65815323,5,10
96156911,tw_96156911,Twitter 96156911,10,12
277889424,tw_77889424,Twitter 77889424,9,3
2271071,tw_2271071,Twitter 2271071,4,4
252291383,tw_52291383,Twitter 52291383,3,1
25007375,tw_25007375,Twitter 25007375,17,25
347466350,tw_47466350,Twitter 47466350,8,24
2367911,tw_2367911,Twitter 2367911,73,30
14789563,tw_14789563,Twitter 14789563,4,17
18393773,tw_18393773,Twitter 18393773,90,62
84624486,tw_84624486,Twitter 84624486,2,1
14934818,tw_14934818,Twitter 14934818,95,77
6312972,tw_6312972,Twitter 6312972,6,0
241214783,tw_41214783,Twitter 41214783,29,5
66652552,tw_66652552,Twitter 66652552,4,15
373123978,tw_73123978,Twitter 73123978,12,25
394169177,tw_94169177,Twitter 94169177,2,2
77890950,tw_77890950,Twitter 77890950,0,6
99712896,tw_99712896,Twitter 99712896,21,53
5800082,tw_5800082,Twitter 5800082,1,1
157873303,tw_57873303,Twitter 57873303,2,9
260769396,tw_60769396,Twitter 60769396,6,24
33087222,tw_33087222,Twitter 33087222,26,46
20567578,tw_20567578,Twitter 20567578,18,20
20769532,tw_20769532,Twitter 20769532,6,14
20660146,tw_20660146,Twitter 20660146,14,14
17006157,tw_17006157,Twitter 17006157,4,0
115485051,tw_15485051,Twitter 15485051,85,0
62901679,tw_62901679,Twitter 62901679,3,7
29287875,tw_29287875,Twitter 29287875,24,30
15234657,tw_15234657,Twitter 15234657,21,29
83032174,tw_83032174,Twitter 83032174,3,10
760069,tw_760069,Twitter 760069,5,0
24599923,tw_24599923,Twitter 24599923,90,12
63760513,tw_63760513,Twitter 63760513,18,3
14506809,tw_14506809,Twitter 14506809,11,19
287915525,tw_87915525,Twitter 87915525,3,8
